run_signature,mode,heldout_uid,heldout_repository,heldout_project,model,status,error,train_rows,test_rows,wall_seconds,n_test,events_test,harrell_c,n_ipcw_eval,ipcw_c,auc_30,auc_60,auc_90,mean_dynamic_auc,ibs_rows,ibs,km_ibs,ibs_gain_vs_km
de2d050dd049,day0,Mojang::MC,Mojang,MC,CoxPH,ok,,50000,213845,810.4993698596954,213845,205547,0.4952139866572868,213845,0.4952232921714068,0.5054161606282123,0.5043111137710481,0.5018000847380476,0.5053218404750794,2000,0.14615382237713423,0.24623273142354993,0.1000789090464157
de2d050dd049,day0,Mojang::MC,Mojang,MC,RSF,ok,,50000,213845,8289.791199207306,213845,205547,0.4837809989708356,213845,0.4838142799994582,0.4975846187035338,0.4961454096572391,0.49462570677210027,0.497491605637553,2000,0.2375336791244037,0.2530793136858323,0.0155456345614286
de2d050dd049,day0,Mojang::MCPE,Mojang,MCPE,CoxPH,ok,,50000,144778,293.50988698005676,144778,140317,0.514128293132965,144778,0.5140469418732821,0.4919981401476502,0.4933763181349527,0.4928702288065919,0.49212084307528764,2000,0.188402721513908,0.20468333559268892,0.016280614078780925
de2d050dd049,day0,Mojang::MCPE,Mojang,MCPE,RSF,ok,,50000,144778,5315.0202713012695,144778,140317,0.49382744075520385,144778,0.4939077427328644,0.4911845898535151,0.4935663124875804,0.4945710575213401,0.49150444618730194,2000,0.17871452131733653,0.20618159006583664,0.027467068748500106
de2d050dd049,day0,MongoDB::SERVER,MongoDB,SERVER,CoxPH,ok,,50000,58928,59.63074994087219,58928,52972,0.5197876029440974,58928,0.5203608844314953,0.5374785886378903,0.5637586210478727,0.5832475022887856,0.5447966955288699,2000,0.1653925570181532,0.1689365012366886,0.0035439442185354053
de2d050dd049,day0,MongoDB::SERVER,MongoDB,SERVER,RSF,ok,,50000,58928,2214.538390636444,58928,52972,0.5456100903328895,58928,0.5458743949583839,0.5709698019732686,0.5953752836914481,0.6119905464680688,0.5776543871666778,2000,0.15681597716853393,0.16539846193049174,0.008582484761957804
de2d050dd049,day0,Qt::QTBUG,Qt,QTBUG,CoxPH,ok,,50000,97172,117.12779498100281,97172,77520,0.5541014901806763,97172,0.5531962023076247,0.5798079029781344,0.5847592386701568,0.5864666454085558,0.5810807133650537,2000,0.21544858097343675,0.1998797209854934,-0.015568859987943356
de2d050dd049,day0,Qt::QTBUG,Qt,QTBUG,RSF,ok,,50000,97172,3643.3770163059235,97172,77520,0.543606855180083,97172,0.5431650725561666,0.5671031144965212,0.5638525833432348,0.5636291443064589,0.5663390791074792,2000,0.2060109688905952,0.2089193021062942,0.0029083332156989994
de2d050dd049,day0,Sakai::SAK,Sakai,SAK,CoxPH,ok,,50000,43351,42.436360120773315,43351,39086,0.5526057795603923,43351,0.5512771765145247,0.5768543663493428,0.5862743409081732,0.5902731385519249,0.5787613524199887,2000,0.16785138569718178,0.17304783045464947,0.005196444757467694
de2d050dd049,day0,Sakai::SAK,Sakai,SAK,RSF,ok,,50000,43351,1734.5514550209045,43351,39086,0.5270576919141966,43351,0.5263250805225327,0.5310631540020724,0.5313086070066159,0.5330038245623836,0.5312191698873385,2000,0.17602866479969279,0.17814798602645146,0.0021193212267586747
de2d050dd049,day0,Sonatype::OSSRH,Sonatype,OSSRH,CoxPH,ok,,50000,74960,85.67042303085327,74960,72193,0.452250720734787,74960,0.4522358718639122,0.45368963088198005,0.45255411146438373,0.45357078277895635,0.45368457385201466,2000,0.45417495446929085,0.4097146948806567,-0.04446025958863414
de2d050dd049,day0,Sonatype::OSSRH,Sonatype,OSSRH,RSF,ok,,50000,74960,3025.764812707901,74960,72193,0.47085856610793847,74960,0.47094561594483936,0.4929574245912474,0.49600841231164755,0.49682894031550856,0.4929814872704585,2000,0.4285432526199936,0.4066145079371831,-0.021928744682810475
