repository,project,issues,resolved,unresolved,resolved_rate,censoring_rate
Apache,TINKERPOP,2681,2500,181,0.9324878776575904,0.06751212234240955
Apache,ODFTOOLKIT,479,342,137,0.7139874739039666,0.2860125260960334
Apache,SYSTEMDS,3119,2378,741,0.7624238537992947,0.23757614620070536
Apache,MRM,1993,1788,205,0.8971399899648771,0.10286001003512293
Apache,KUDU,3194,2390,804,0.7482780212899186,0.2517219787100814
Apache,NLPCRAFT,471,393,78,0.8343949044585988,0.16560509554140126
Apache,FLINK,25492,21398,4094,0.839400596265495,0.16059940373450493
Apache,CURATOR,622,436,186,0.7009646302250804,0.2990353697749196
Apache,UNOMI,540,453,87,0.8388888888888889,0.16111111111111112
Apache,ARCHETYPE,581,521,60,0.8967297762478486,0.10327022375215146
Apache,OPENNLP,1309,1139,170,0.8701298701298701,0.12987012987012986
Apache,MFHTML5,21,7,14,0.3333333333333333,0.6666666666666666
Apache,APLO,401,329,72,0.8204488778054863,0.17955112219451372
Apache,WSCOMMONS,197,173,24,0.8781725888324873,0.1218274111675127
Apache,CONTINUUM,2724,2312,412,0.8487518355359766,0.1512481644640235
Apache,GERONIMODEVTOOLS,806,696,110,0.8635235732009926,0.13647642679900746
Apache,OPENWIRE,16,12,4,0.75,0.25
Apache,SCM,958,923,35,0.9634655532359081,0.03653444676409186
Apache,CLI,313,228,85,0.7284345047923323,0.2715654952076677
Apache,IBATISNET,301,247,54,0.8205980066445183,0.17940199335548174
Apache,BCEL,342,268,74,0.783625730994152,0.21637426900584794
Apache,NEMO,484,291,193,0.6012396694214877,0.3987603305785124
Apache,TEVAL,1,0,1,0.0,1.0
Apache,TILES,578,545,33,0.9429065743944637,0.05709342560553633
Apache,TM,39,0,39,0.0,1.0
Apache,IOTDB,2265,1690,575,0.7461368653421634,0.25386313465783666
Apache,DMAP,204,204,0,1.0,0.0
Apache,SUPERSET,13,6,7,0.46153846153846156,0.5384615384615384
Apache,RYA,540,348,192,0.6444444444444445,0.35555555555555557
Apache,COMPRESS,601,530,71,0.8818635607321131,0.11813643926788686
Apache,RIPPLE,106,49,57,0.46226415094339623,0.5377358490566038
